genre_name,preview_url,preview_track,color,top_pixel,left_pixel,font_size
europop,https://p.scdn.co/mp3-preview/eef43d18f73d83ff358852d874dd564f55e86932,"Ace of Base ""All That She Wants""","rgb(190, 127, 17)",2922,786,110
progressive house,https://p.scdn.co/mp3-preview/9f18c46f531313e319ff8db9554268e7bb1c586a,"Maor Levi ""Let You Go""","rgb(207, 125, 111)",2089,721,110
art rock,https://p.scdn.co/mp3-preview/c82f78cdb980913052039da865227c934160df33,"Yes ""Owner of a Lonely Heart""","rgb(145, 125, 41)",12934,521,110
yacht rock,https://p.scdn.co/mp3-preview/881049d7c8b8c47468326b0b1a4c57e70ff28944,"Ambrosia ""Biggest Part of Me""","rgb(141, 132, 24)",10904,746,110
mpb,https://p.scdn.co/mp3-preview/0ba092ccda5e2e6237cd15a9eadac6936bb0263b,"Ney Matogrosso ""Poema""","rgb(132, 140, 20)",14082,806,110
pagode,https://p.scdn.co/mp3-preview/ae2ea19c6d7f8bb6fd5fb6ec2be8fd9a068a55e1,"Katinguelê ""Inaraí""","rgb(173, 128, 2)",11529,830,110
tropical house,https://p.scdn.co/mp3-preview/de865e819c2ba4d4e2dbf04f505fe5a5c75dc99c,"FPXL ""Hold On To The Night""","rgb(178, 145, 27)",3569,864,110
urbano espanol,https://p.scdn.co/mp3-preview/37c30a46efb9e88375f5b4c38345dd29ae423dd4,"Soto Asa ""Smartphone""","rgb(164, 143, 7)",10083,1047,110
chamber pop,https://p.scdn.co/mp3-preview/59a07330c2c27ce938c105a5f72a8460825f3663,"Fleet Foxes ""White Winter Hymnal""","rgb(126, 142, 57)",13108,473,110
rap francais,https://p.scdn.co/mp3-preview/7d8d059f0e31f62b7637e4179130c6ecb3e1c391,"Shotas ""LVC""","rgb(164, 146, 2)",8502,1106,110
dance rock,https://p.scdn.co/mp3-preview/fa7015e65bf8da36eb49ef1fa02d247dbca2b293,"Frankie Goes To Hollywood ""Relax""","rgb(196, 114, 40)",2878,705,110
j-rock,https://p.scdn.co/mp3-preview/5324f9b2323a3b870768c91249d4ef0e195fc9dd,"Fujifabric ""若者のすべて""","rgb(198, 110, 23)",6062,404,110
polish hip hop,https://p.scdn.co/mp3-preview/3b612c95da130182200549e5a4ca758077f64c71,"Solar ""Intercontinental bajers""","rgb(177, 132, 9)",8038,1047,110
sleep,https://p.scdn.co/mp3-preview/2b6424283a97df5182999ca7f640d6f0edafbe1e,"One Stop ""Sleep Drone""","rgb(120, 0, 200)",17972,83,109
folk,https://p.scdn.co/mp3-preview/2f36f4b121e69fabee732851380402a0028029d3,"Lucinda Williams ""Fruits Of My Labor""","rgb(101, 145, 14)",15717,741,109
anime,https://p.scdn.co/mp3-preview/65c332d8b05c373ab3bbee46ceafe2d1a55059da,"亜咲花 ""SHINY DAYS""","rgb(185, 121, 45)",5555,414,109
trap brasileiro,https://p.scdn.co/mp3-preview/ffb6884aac810c2f3ba68663ff38cd2c09027ebe,"Nagalli ""Mal Intencionada (Já Foi, Já Era)""","rgb(147, 150, 6)",9541,1071,109
disco,https://p.scdn.co/mp3-preview/c8e62c272be0fd81117f2059aaa6b5eaaa1e5b73,"Sister Sledge ""We Are Family - 1995 Remaster""","rgb(160, 121, 18)",8690,881,109
pluggnb,https://p.scdn.co/mp3-preview/cff3d7b4ebfb38ff4076ea9ace89e79a815387cb,"GOONIE ""zaza""","rgb(140, 159, 5)",6524,885,109
british soul,https://p.scdn.co/mp3-preview/7c85f376ca9618554d26d16c4768431da5ce20af,"GABRIELLE ""Out Of Reach""","rgb(153, 138, 15)",6791,847,109
metalcore,https://p.scdn.co/mp3-preview/8e092b34292c9e65ebb185de3e118d15bfd39093,"Kingdom Of Giants ""Wasted Space""","rgb(230, 81, 33)",5143,207,109
australian pop,https://p.scdn.co/mp3-preview/803e0b2d3757f214588df21721da58a8425193b1,"Vanessa Amorosi ""Absolutely Everybody""","rgb(162, 137, 16)",6505,694,109
uk hip hop,https://p.scdn.co/mp3-preview/f337aef4bda66c39b5405c5b67a968bc40d2e4e0,"Sneakbo ""Love Is A Gamble (feat. Kida Kudz)""","rgb(174, 133, 14)",10672,1053,109
christian music,https://p.scdn.co/mp3-preview/68fdd2da7c8277320984e9397a7810dbebe5c23c,"Brandon Heath ""See Me Through It""","rgb(159, 136, 13)",7136,360,109
gen z singer-songwriter,https://p.scdn.co/mp3-preview/67258d7290a86faa76f0e433672986ec49b3a11e,"Sara Kays ""Remember That Night?""","rgb(113, 154, 2)",12547,760,109
electropop,https://p.scdn.co/mp3-preview/1842c05cf1ff91f264b06f7ef3f24ac9f9d0235d,"La Roux ""Bulletproof""","rgb(163, 140, 23)",5199,781,109
big room,https://p.scdn.co/mp3-preview/8d5e61c131a131747bae6c175b7bb7e2ab87a00c,"Reggio ""Closer""","rgb(211, 125, 74)",2236,760,109
forro,https://p.scdn.co/mp3-preview/3f796e5e22e265a6053dbecccbb20a0f0a191c56,"Avine Vinny ""Anota Aí - Ao Vivo""","rgb(199, 135, 3)",7729,965,109
swedish pop,https://p.scdn.co/mp3-preview/36cf13b4e5318f5e11e4fcd3f62db48468379492,"Miriam Bryant ""Under någon ny""","rgb(164, 136, 9)",6679,677,109
classic oklahoma country,https://p.scdn.co/mp3-preview/c532325862e13fc474846a96c49bf39a828aa2c3,"Joe Diffie ""Pickup Man""","rgb(111, 139, 20)",15249,786,109
reggaeton flow,https://p.scdn.co/mp3-preview/eeeec701e3156ea86afc34cd912ae01a09f01fe5,"Sammy & Falsetto ""Yo Sé Que Tú Quieres""","rgb(182, 145, 8)",4909,1144,109
pop nacional,https://p.scdn.co/mp3-preview/f648095024a94fb0a30c972d3995634a13375b88,"Manu Gavassi ""Deve ser horrível dormir sem mim""","rgb(173, 141, 5)",6928,935,109
british invasion,https://p.scdn.co/mp3-preview/e9ef32f32f8ecd35001b0d4a9edcbf992330094e,"Billy J. Kramer ""Bad to Me""","rgb(152, 125, 32)",12646,642,109
mexican rock,https://p.scdn.co/mp3-preview/e45755421e33849a741dce2469f7e5817d8c682c,"Tijuana No! ""Pobre De Ti""","rgb(185, 125, 28)",5348,636,109
indie soul,https://p.scdn.co/mp3-preview/632d6c82c76df12239b31e81936f7ca316a3d45b,"Tom Misch ""It Runs Through Me""","rgb(146, 141, 74)",7210,949,109
contemporary r&b,https://p.scdn.co/mp3-preview/96a6dd3d7f26c1cc2cb74095c3a1c76852063ef2,"Total ""Can't You See""","rgb(153, 135, 7)",5022,929,109
folk-pop,https://p.scdn.co/mp3-preview/91913c54e76ab68663419c0710d9fba7e2e9c82e,"The Head And The Heart ""Rivers and Roads""","rgb(136, 145, 10)",11056,583,109
white noise,https://p.scdn.co/mp3-preview/33a9df76283fb2b0ef8a43cdb5acd77b3cd8f803,"Fizzonaut ""Scandinavian Air""","rgb(110, 0, 199)",17985,0,109
pagode novo,https://p.scdn.co/mp3-preview/86d6b63e64bae75be99316c7a1446baf24046e38,"Suel ""Me Assume Ou Me Esquece - Ao Vivo""","rgb(176, 132, 1)",11955,795,109
soundtrack,https://p.scdn.co/mp3-preview/65272decca1ff641e3491bc32ec076e891d08697,"Harry Gregson-Williams ""Only The Beginning of The Adventure""","rgb(58, 156, 197)",16511,210,109
funk metal,https://p.scdn.co/mp3-preview/5a7418b48e2ce653e9f2fd5c68b74973d1ff18bf,"Faith No More ""Epic""","rgb(202, 101, 29)",7273,499,109
grunge,https://p.scdn.co/mp3-preview/1bc6b4e391d3d3f093a3b236bcf3ff91170c3e43,"Mudhoney ""Touch Me I'm Sick""","rgb(195, 100, 55)",10489,308,109
french pop,https://p.scdn.co/mp3-preview/c4ea074194e84f4d281e0adebbcc21b660b4259b,"Amir ""Longtemps""","rgb(158, 135, 8)",9855,711,109
emo rap,https://p.scdn.co/mp3-preview/7dfde7160ac2845663372b1da8fbf744326ef2fb,"93FEETOFSMOKE ""TOOTHPASTE - DEDLINE PHONK REMIX""","rgb(144, 151, 17)",6791,758,109
salsa,https://p.scdn.co/mp3-preview/ccc6a1cc99620938ba32a8432b93c2bdd2e8d1d9,"Lalo Rodriguez ""Ven Devórame Otra Vez""","rgb(166, 134, 22)",13887,1049,109
rain,https://p.scdn.co/mp3-preview/78526a03bdf71e1293c825f8f65b9bc54560d971,"The Wet ""Starting to rain""","rgb(169, 0, 195)",16949,45,109
r&b francais,https://p.scdn.co/mp3-preview/620e4ead4be92e33aeda73aeaa54046830c5bc5c,"KeBlack ""LAISSE MOI""","rgb(165, 150, 2)",8210,1015,109
lgbtq+ hip hop,https://p.scdn.co/mp3-preview/e1ca895f1408a9befc30d18f4cefe2ed19163ecb,"Mykki Blanco ""French Lessons""","rgb(170, 132, 20)",5493,1021,109
turkish rock,https://p.scdn.co/mp3-preview/3fd76c35dd584858b3506d00b2b6106340411d10,"Gece ""Ben Öldüm""","rgb(144, 137, 29)",10932,554,109
memphis hip hop,https://p.scdn.co/mp3-preview/fa0b03f966fef8984c484d2bf06c86f8c43b74d7,"Gangsta Blac ""Powder""","rgb(162, 144, 5)",3882,1141,109
mariachi,https://p.scdn.co/mp3-preview/4a82ad861eef70378068813c7ac9e6ac6f9eb935,"Mariachi Juvenil Tecalitlan ""El Sinaloense""","rgb(107, 153, 42)",15208,765,109
brostep,https://p.scdn.co/mp3-preview/c5e0615c964cc67092a5f8f73314ae2f5a66271d,"Eptic ""Wall Of Death""","rgb(212, 125, 66)",2864,802,109
classic soul,https://p.scdn.co/mp3-preview/aaa5ade3fb7152515dc70e4814d98ccff6d91be9,"The Persuaders ""Thin Line Between Love and Hate""","rgb(127, 130, 15)",14736,802,109
funk mtg,https://p.scdn.co/mp3-preview/1338c58c38aefa05be096424a64cac2e6f6a1b29,"DJ 2K DO TAQUARIL ""Se Tu Gamar Eu Só Lamento""","rgb(175, 133, 8)",8253,1261,109
trap triste,https://p.scdn.co/mp3-preview/0e73b1f9c765d92072892f72d8845f4460743abf,"Asan ""Vamonos""","rgb(147, 155, 6)",7987,1005,109
dirty south rap,https://p.scdn.co/mp3-preview/fd5772f3ae3cb39081bf578929ebe1e0790f1e8a,"Lil' Flip ""Sunshine (feat. Lea)""","rgb(168, 134, 3)",5026,1088,109
melodic metalcore,https://p.scdn.co/mp3-preview/819ad3103bc07695733e8148d15a569a08041464,"Unearth ""My Will Be Done""","rgb(233, 76, 47)",5715,201,109
blues rock,https://p.scdn.co/mp3-preview/8563d016ae70ed290ba446194adbe39f0cbf3cdb,"Derek & The Dominos ""Layla""","rgb(149, 119, 35)",14688,781,109
alternative hip hop,https://p.scdn.co/mp3-preview/e509ca2df41771f01e4f5ca6fad82ba6827d5423,"Jaylib ""The Official""","rgb(177, 119, 34)",11265,977,108
melancholia,https://p.scdn.co/mp3-preview/48a0c49f1b9535c993aa10f214ebff14a3ceaef9,"Low ""Lullaby""","rgb(114, 145, 51)",13589,469,108
pop soul,https://p.scdn.co/mp3-preview/3970f8df24bee0f6bbed7357e000d1b14e044628,"Emily King ""Distance""","rgb(135, 145, 12)",9831,799,108
brazilian gospel,https://p.scdn.co/mp3-preview/8807f93fb5e89db553829884577225650d24a0ad,"Marquinhos Gomes ""Ele Não Desiste de Você""","rgb(146, 143, 22)",11243,508,108
outlaw country,https://p.scdn.co/mp3-preview/444145a43f331b42343b9c4b4e6d300eb3c178b5,"Billy Joe Shaver ""Live Forever""","rgb(114, 137, 10)",14946,893,108
orchestral soundtrack,https://p.scdn.co/mp3-preview/e8ec3e571c1898f6959896f0e081d8e4e7108dc7,"John Powell ""Test Drive - From How To Train Your Dragon Music From The Motion Picture""","rgb(63, 155, 189)",17224,247,108
dutch house,https://p.scdn.co/mp3-preview/f81e2e8a2bb25f1c8eedd11622ca9cfdb8eb9cd4,"Blasterjaxx ""Narco""","rgb(210, 122, 82)",2339,832,108
turkish hip hop,https://p.scdn.co/mp3-preview/202637ec2c18111a4ce5c5c141e9270b3af029fe,"Sansar Salvo ""Dum Taka Dum""","rgb(167, 138, 16)",6703,1030,108
queens hip hop,https://p.scdn.co/mp3-preview/0f64f9256df3a68f05e59f6478fb4de8e1b79c29,"Tragedy Khadafi ""1st Day of Spring""","rgb(182, 116, 8)",9606,1070,108
christian alternative rock,https://p.scdn.co/mp3-preview/e7d1c84e75a3dfebf350d2a33fc25bfd64684a19,"Sanctus Real ""Confidence""","rgb(169, 132, 15)",5816,392,108
mandopop,https://p.scdn.co/mp3-preview/b2f0df35d5194e7889bc92d44b67424bc080ad9e,"Princess Ai ""對的人""","rgb(139, 145, 7)",9986,583,108
