genre_name,preview_url,preview_track,color,top_pixel,left_pixel,font_size
modern country pop,https://p.scdn.co/mp3-preview/edec90019e2f14e4d9725ca680c572780061c930,"Warren Zeiders ""Pretty Little Poison""","rgb(153, 144, 0)",8297,533,113
electro house,https://p.scdn.co/mp3-preview/105556269db8065f39f5d17b348475f8bb19051b,"Laidback Luke ""Whistle (feat. Bertie Scott)""","rgb(208, 124, 79)",2180,839,113
latin hip hop,https://p.scdn.co/mp3-preview/da63a8ebe906550c058431a03e5cb0f31b3b839a,"Tito ""El Bambino"" ""Mi Cama Huele a Ti""","rgb(198, 134, 3)",3185,1153,113
canadian contemporary r&b,https://p.scdn.co/mp3-preview/0c441d7b02032c2ef15cd36d5ee1ce4ad1139e5d,"Savannah Ré ""Last One""","rgb(134, 151, 24)",9481,795,113
pop punk,https://p.scdn.co/mp3-preview/36b8ec978ad11bb619615356c1c3b11dfeb12dd8,"New Found Glory ""My Friends Over You""","rgb(209, 105, 8)",4549,327,113
neo mellow,https://p.scdn.co/mp3-preview/c1b502bb0df9f6392a788ef786bf7cb14b9bf070,"Matt Nathanson ""Come On Get Higher""","rgb(144, 142, 6)",10411,568,113
pop rock,https://p.scdn.co/mp3-preview/30e2a899a94a089d5c341b782b00aa802fd87610,"The Goo Goo Dolls ""Iris""","rgb(177, 128, 7)",6766,469,113
latin rock,https://p.scdn.co/mp3-preview/a5c1c6d54c02805228618fb5cf7496b6475086c9,"Los Fabulosos Cadillacs ""Vasos Vacíos - Remasterizado 2008""","rgb(178, 130, 18)",5289,711,113
punjabi pop,https://p.scdn.co/mp3-preview/93cc3918af0eb3406033007cb17425c11c232df7,"Jordan Sandhu ""Tareefan""","rgb(189, 132, 5)",10481,1005,113
rap metal,https://p.scdn.co/mp3-preview/63ad5c729897a9e7c044d1868f569d49e9be05c0,"Sevendust ""Denial""","rgb(217, 93, 24)",5651,433,113
trap argentino,https://p.scdn.co/mp3-preview/f2c1a85ee07437b3f29905e5975608608de617c6,"Bhavi ""AEROBICO REMIX""","rgb(156, 151, 7)",6336,1103,113
new romantic,https://p.scdn.co/mp3-preview/e17625c0d5ffe9165cec52e953f6175c7b1b5420,"Thompson Twins ""Hold Me Now""","rgb(179, 121, 28)",4646,689,113
new wave,https://p.scdn.co/mp3-preview/37e6049e5c604a5a0b0c0c5ef68208f72e0fed38,"The Human League ""Don't You Want Me""","rgb(184, 116, 33)",5140,607,113
uk dance,https://p.scdn.co/mp3-preview/d156060faa3d61d5fa3ea817f7ebc4008a954549,"Nathan Dawe ""21 Reasons (feat. Ella Henderson)""","rgb(199, 132, 47)",2202,947,113
slap house,https://p.scdn.co/mp3-preview/2c4b983548830cd246d4a10a451a1c1f2fb25efa,"VINAI ""Rise Up (feat. Vamero)""","rgb(204, 130, 50)",2352,868,113
modern alternative rock,https://p.scdn.co/mp3-preview/19089162cd7d61e5cc80fbc1623332df0c59baa3,"Nothing But Thieves ""Overcome""","rgb(190, 119, 19)",5114,443,112
indie pop,https://p.scdn.co/mp3-preview/24014ce72466a645baf03cee71fb065bfffef740,"Phoebe Bridgers ""Motion Sickness""","rgb(129, 147, 30)",11292,573,112
indie rock,https://p.scdn.co/mp3-preview/85280509156c3f6ba4f72d9c25f455f72e9f8240,"Grizzly Bear ""Two Weeks""","rgb(161, 130, 58)",9921,469,112
house,https://p.scdn.co/mp3-preview/81e1063337ea616b86a2b74f559af056f0c36fd5,"MK ""Rhyme Dust""","rgb(203, 128, 108)",1379,1108,112
conscious hip hop,https://p.scdn.co/mp3-preview/74e3a56842f5000be3a9f26a27e37ac90dcf7363,"Mos Def ""Ms. Fat Booty""","rgb(176, 120, 12)",10057,1041,112
modern country rock,https://p.scdn.co/mp3-preview/ff703a1976b763fb8a31305765a650e299c6c603,"Kip Moore ""Somethin' 'Bout A Truck""","rgb(177, 132, 1)",5468,530,112
